ROM loaded successfully. size of ROM is 1301 bytes.
---LOG START---
IR: ADD I, V2 | I: 0x495 | SP: 0 | V: 28 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x495 | SP: 0 | V: 28 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: JP 22D | I: 0x495 | SP: 0 | V: 28 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x495 | SP: 0 | V: 28 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V1, 08 | I: 0x495 | SP: 0 | V: 28 20 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD I, V2 | I: 0x49D | SP: 0 | V: 28 20 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x49D | SP: 0 | V: 28 20 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V0, 08 | I: 0x49D | SP: 0 | V: 30 20 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: LD V1, 00 | I: 0x49D | SP: 0 | V: 30 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V0, 40 | I: 0x49D | SP: 0 | V: 30 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: JP 22D | I: 0x49D | SP: 0 | V: 30 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x49D | SP: 0 | V: 30 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V1, 08 | I: 0x49D | SP: 0 | V: 30 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD I, V2 | I: 0x4A5 | SP: 0 | V: 30 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x4A5 | SP: 0 | V: 30 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: JP 22D | I: 0x4A5 | SP: 0 | V: 30 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x4A5 | SP: 0 | V: 30 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
